country,country_code,year,literacy_rate_pct,Country Name_x,Country Code_x,Indicator Name_x,gdp_per_capita_usd,Country Name_y,Country Code_y,Indicator Name_y,poverty_rate_pct
Algeria,DZA,1987.0,50.0,Algeria,DZA,GDP per capita (current US$),2847.0776691988,,,,
Algeria,DZA,2002.0,70.0,Algeria,DZA,GDP per capita (current US$),1937.46411413019,,,,
Algeria,DZA,2006.0,73.0,Algeria,DZA,GDP per capita (current US$),3660.66104745322,,,,
Algeria,DZA,2008.0,75.0,Algeria,DZA,GDP per capita (current US$),5180.91881514686,,,,
Egypt,EGY,1976.0,38.0,,,,,,,,
Egypt,EGY,1986.0,44.0,,,,,,,,
Egypt,EGY,1996.0,56.0,,,,,,,,
Egypt,EGY,2005.0,67.0,,,,,,,,
Egypt,EGY,2006.0,66.0,,,,,,,,
Egypt,EGY,2010.0,72.0,,,,,,,,
Egypt,EGY,2012.0,74.0,,,,,,,,
Egypt,EGY,2013.0,72.0,,,,,,,,
Egypt,EGY,2017.0,71.0,,,,,,,,
Jordan,JOR,1979.0,67.0,Jordan,JOR,GDP per capita (current US$),1518.82451343828,,,,
Jordan,JOR,2003.0,90.0,Jordan,JOR,GDP per capita (current US$),1775.67625581432,,,,
Jordan,JOR,2005.0,91.0,Jordan,JOR,GDP per capita (current US$),2087.87079273635,,,,
Jordan,JOR,2007.0,92.0,Jordan,JOR,GDP per capita (current US$),2506.20599484139,,,,
Jordan,JOR,2010.0,93.0,Jordan,JOR,GDP per capita (current US$),3718.46571622945,Jordan,JOR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.1
Jordan,JOR,2011.0,96.0,Jordan,JOR,GDP per capita (current US$),3946.85503855525,,,,
Jordan,JOR,2012.0,98.0,Jordan,JOR,GDP per capita (current US$),4169.50470054618,,,,
Jordan,JOR,2018.0,95.43145,Jordan,JOR,GDP per capita (current US$),4145.43989673265,,,,
Jordan,JOR,2023.0,95.0,Jordan,JOR,GDP per capita (current US$),4466.08314208575,,,,
Lebanon,LBN,2007.0,90.0,Lebanon,LBN,GDP per capita (current US$),5125.25809960149,,,,
Lebanon,LBN,2009.0,91.0,Lebanon,LBN,GDP per capita (current US$),7090.85493856621,,,,
Lebanon,LBN,2018.0,93.0,Lebanon,LBN,GDP per capita (current US$),9174.53666204759,,,,
Libya,LBY,1984.0,60.0,Libya,LBY,GDP per capita (current US$),7811.06937340039,,,,
Morocco,MAR,1982.0,30.0,Morocco,MAR,GDP per capita (current US$),856.569763183594,,,,
